Time,Content
2021-11-29,海螺水泥(600585.SH)：已收回5亿元委托理财本金并取得2308.92万元收益
2021-11-29,西部水泥(02233.HK)获海螺水泥或其一致行动人增持834万股
2021-11-26,海螺水泥(600585.SH)：已收回10亿元委托理财本金并取得4687.2万元收益
2021-11-19,海螺水泥(00914.HK)：按期收回委托理财本金20亿元及收益8835.8万元
2021-11-19,海螺水泥(600585.SH)：已收回20亿元委托理财本金并取得8835.8万元理财收益
2021-11-08,海螺水泥(00914.HK)：周小川获委任为执行董事
2021-11-08,西部水泥(02233.HK)获海螺水泥或其一致行动人增持309万股
2021-10-28,海螺水泥(600585.SH)第三季度净利润74.39亿元 同比下降14.09%
2021-10-25,海螺水泥(00914.HK)：全额收回25亿元委托理财本金，并取得1.09亿元理财收益
2021-10-19,海螺水泥(00914.HK)：新材料产业投资基金完成工商注册登记
2021-10-15,海螺水泥(00914.HK)10月28日举行董事会会议审批三季度业绩
2021-10-11,A股异动丨亚泰集团(600881.SH)一字涨停 获海螺水泥举牌 持股达到5%
2021-10-09,周末数涨停！2200亿巨无霸举牌，狂买竞争对手1.62亿股，曾“炒股”半年大赚18亿
2021-10-09,亚泰集团获海螺水泥举牌，后者已买入1.62亿股股份
2021-10-08,亚泰集团：公司获海螺水泥举牌
2021-10-08,【晚间公告抢先看】亚泰集团获海螺水泥举牌、上机数控子公司签订39.3亿元“单晶硅片”销售合同
2021-10-08,亚泰集团(600881.SH)：获海螺水泥举牌 持股达到5%
2021-10-08,亚泰集团：获海螺水泥举牌
2021-09-22,海螺水泥吴斌辞任总经理 李群峰接任
2021-09-22,海螺水泥吴斌辞任总经理 李群峰接任
2021-09-14,海螺水泥(00914.HK)与海螺设计院签署SCR脱硝技改项目合同
2021-09-06,港A两市水泥股走强 海螺水泥(0914.HK)涨超4%
2021-09-01,海螺水泥4.43亿布局光伏发电 上市19年累计分红535.44亿
2021-08-31,水泥股集体上涨 海螺水泥盘中涨超8% 多省酝酿新一轮上涨
2021-08-31,A股异动 | 海螺水泥涨超8% 拟收购新能源公司打造产业升级
2021-08-30,海螺水泥(00914.HK)拟4.43亿元收购海螺新能源公司100%股权
2021-08-30,海螺水泥(600585.SH)：拟收购主要经营光伏发电等业务的海螺新能源公司 利于打造新的产业增长级
2021-08-30,港股异动 | 海螺水泥AH股齐跌 H股为连续5日下跌 中期净利下滑6.96%
2021-08-30,瑞信：下调海螺水泥(0914.HK)目标价至60港元 评级“跑赢大市”
2021-08-28,海螺水泥(600585.SH)：上半年净利降6.96%至149.51亿元
2021-08-27,海螺水泥2021年上半年净利149.51亿下滑6.96% 产品综合毛利率下降
2021-08-27,海螺水泥(00914.HK)：上半年净利149.51亿元 同比下降6.96%
2021-08-10,海螺水泥(00914.HK)遭摩根大通减持52.7万股
2021-08-09,水泥价格加速回升，华新水泥、海螺水泥大涨，建材ETF(159745)涨超3 %
2021-08-09,价格回暖促水泥股集体走强 海螺水泥涨超5%
2021-08-03,西部水泥(02233.HK)获海螺水泥或其一致行动人增持306.2万股
2021-07-30,海螺水泥(600585.SH)：减持期过半 副总经理柯秋璧未减持股份
2021-07-29,海螺水泥(600585.SH)：已全额收回60亿元理财本金并取得约2.5亿元收益
2021-07-29,海螺水泥(00914.HK)遭摩根大通减持276.68万股
2021-07-27,海螺水泥(00914.HK)获摩根大通增持196.26万股
2021-07-20,海螺水泥(00914.HK)遭摩根大通减持203.45万股
2021-07-16,海螺水泥(600585.SH)：拟斥16亿元参设中建材(安徽)新材料产业投资基金
2021-07-14,海螺水泥(00914.HK)获摩根大通增持152万股
2021-06-30,海螺水泥(00914.HK)遭摩根大通减持82.92万股
2021-06-24,海螺水泥：2020年公司每股现金分红2.12元（含税） 分红总金额为112亿元
2021-06-20,海螺水泥(600585.SH)：已全额收回20亿元委托理财本金并取得9145万元理财收益
2021-06-18,高位回撤超26%，海螺水泥怎么了
2021-06-08,海螺水泥(600585.SH)：2020年度权益分派10派21.2元 股权登记日6月16日
2021-06-03,海螺水泥(600585.SH)按期收回12亿元委托理财本金及收益5126.04万元
2021-05-28,海螺水泥(00914.HK)：王诚获选为执行董事
2021-05-25,海螺水泥(600585.SH)按期收回20亿元委托理财本金及4206万元收益
2021-04-27,海螺水泥(600585.SH)一季度净利润升18.22%至58.09亿元
2021-04-22,（上市公司人事）海螺水泥董事长高登榜辞职
2021-04-22,海螺水泥：公司将积极寻求并购标的
2021-04-22,海螺水泥：公司产品定价同样遵循市场化原则
2021-04-07,海螺水泥(600585.SH)：副总经理柯秋璧拟减持不超5.26万股
2021-03-26,海螺水泥202年净利润同比增长4.58%至351亿元
2021-03-26,海螺水泥2020年净利351亿增长4.6% 总经理吴斌薪酬237万
2021-03-25,海螺水泥2020年度净利同比增长4.58% 水泥和熟料合计净销量同比增长4.69％
2021-03-25,拟10派21.2元 海螺水泥(600585.SH)2020年度净利升4.58%至351.297亿元
2021-03-22,海螺水泥：公司碳减排主要措施包括全面推广余热发电技术、优化生产工艺、建设绿色工厂等
2021-03-22,海螺水泥：公司利用水泥窑余热发电主要是工厂自用
2021-03-22,海螺水泥：公司管理层对于水泥的运营是世界一流
2021-03-22,海螺水泥：公司2018年底其他应收款增加的主要原因是公司购买的银行理财产品金额增加
2021-03-22,海螺水泥：公司增加的借款主要是满足部分子公司经营发展资金需要
2021-03-22,海螺水泥：公司会保持分红政策的连续性和稳定性
