Time,Content,Tag
12/19/2019,[正平股份]浦发银行西宁分行李毅东副行长一行参观考察正平股份,1
12/19/2019,[正平股份]浦发银行西宁分行李毅东副行长一行参观考察正平股份,1
12/29/2019,浦发银行：董事长及副董事长、行长任职资格获银保监会核准,1
12/29/2019,浦发银行：董事长及副董事长、行长任职资格获银保监会核准,1
1/1/2020,浦发银行：第七届董事会第二次会议决议公告,0
1/14/2020,姚记科技向浦发银行申请贷款3.3亿 控股股东姚朔斌将3400万股股票作质押,-1
1/21/2020,浦发银行：2019年度净利润589.11亿元 增长5.36%,2
1/21/2020,浦发银行：2019年净利589亿元 同比增长5%,2
1/21/2020,浦发银行业绩快报：2019年净利同比增5.36%,2
1/21/2020,浦发银行资产规模站上七万亿新台阶,2
1/21/2020,浦发银行业绩快报：2019年净利润增长5.36%,2
1/22/2020,浦发银行：第七届董事会第三次会议决议公告,0
2/3/2020,浦发银行：捐赠2000万元支持新冠肺炎疫情防控工作,1
2/3/2020,浦发银行：第七届董事会第四次会议决议公告,0
2/21/2020,贝壳找房牵手浦发银行，足不出户交易房产,1
2/28/2020,浦发银行：第七届董事会第五次会议决议公告,0
2/28/2020,浦发银行：优先股二期股息发放实施公告,1
3/9/2020,[正平股份]浦发银行西宁分行李毅东副行长一行参观考察正平股份,1
3/20/2020,浦发银行：第七届董事会第六次会议决议公告,0
3/25/2020,[桐昆股份]浦发银行杭州分行副行长高建兵莅临桐昆调研,0
3/30/2020,浦发银行石家庄分行“离岸直贷”支持企业跨境融资,1
4/12/2020,浦发银行石家庄分行一季度代理承销额翻番,1
4/13/2020,中通国脉：拟向浦发银行长春分行申请1亿元综合授信额度 提高资金营运能力,1
4/15/2020,[国泰君安]携手服务国家战略 国泰君安与浦发银行达成战略合作,1
4/24/2020,浦发银行：2019年净利润同比增长5.36% 拟10派6元,2
4/25/2020,浦发银行：第七届董事会第八次会议决议公告,0
4/25/2020,浦发银行：2020年第一季度主要财务指标,0
4/25/2020,浦发银行：2019年年度主要财务指标,0
4/25/2020,浦发银行2019年净利589.11亿增长5.36% 各板块业务取得新进展,2
4/25/2020,浦发银行2020年第一季度盈利173.61亿 同比增长5.48%,2
5/11/2020,浦发银行不良率再超2%：拨备覆盖率压线达标 资产质量承压,-2
5/13/2020,浦发银行副行长徐海燕辞职 2019年薪酬为103.07万元,-1
5/22/2020,浦发银行石家庄分行首笔新基建项目贷款高效落地,1
6/8/2020,[海宁皮城]皮城担保与浦发银行签署2亿元战略合作协议,1
6/8/2020,[海宁皮城]皮城担保与浦发银行签署2亿元战略合作协议,1
6/9/2020,浦发银行重庆分行原副行长遭处罚 对违规负领导责任,-2
6/10/2020,浦发银行重庆分行4宗违法遭罚200万 贷前调查不尽职,-2
6/18/2020,浦发银行：第七届董事会第十次会议决议公告,0
6/19/2020,浦发银行：2019年年度股东大会决议公告,0
6/22/2020,*ST沈机一字跌停 进出口银行交通银行浦发银行等持股,-2
6/29/2020,浦发银行监事会主席孙建平因已届退休年龄辞任,-1
6/29/2020,浦发银行监事会主席孙建平辞职 由于已届退休年龄,-1
6/30/2020,浦发银行：银保监会同意公司发行不超过800亿元的二级资本债券,1
7/7/2020,浦发银行重庆分行小微信贷中心总经理遭警告 管理存责,-2
7/8/2020,浦发银行大连分行4宗违规遭罚190万 贷款未按约定用途,-1
7/14/2020,浦发银行天津一支行三宗违法遭罚 未按规定报送资料,-1
7/15/2020,浦发银行本溪分行2宗违法遭罚 贷款支付管理不合规,-1
7/27/2020,[佛燃能源]佛燃能源与浦发银行佛山分行举行党建合作共建签约授牌仪式,-1
7/31/2020,浦发银行石家庄分行架起金融服务“连心桥” 与企业“疫”路同行,1
8/6/2020,浦发银行南市支行违法遭罚50万 投后管理严重不审慎,1
8/6/2020,浦发银行奉贤支行违法遭罚 部分员工违规经商办企业,-1
8/11/2020,浦发银行镇江分行违法遭罚 未及时申报国际收支统计,-1
8/11/2020,浦发银行7年12宗违法违规 收上海银保监局2100万罚单,-2
8/11/2020,浦发银行“12宗罪”，被罚2100万！,-2
8/12/2020,浦发银行与华为签署全面战略合作协议,2
8/13/2020,规模近1.5万亿！又一家银行理财子公司获批筹建 注册地在上海,2
8/14/2020,浦发银行获批筹建理财子公司 净值型理财产品规模已达9000亿,1
8/14/2020,浦发银行获批筹建理财子公司 净值型理财产品规模已达9000亿,1
8/14/2020,浦发银行获批筹建理财子公司 净值型理财产品规模已达9000亿,1
8/28/2020,浦发银行半年报：上半年实现净利润289.55亿元 同比下降9.81%,-2
8/28/2020,浦发银行：上半年营收1014.07亿元 非利息净收入占比升至38.98%,2
8/30/2020,9月解禁股数降逾五成 下周浦发银行、牧原股份解禁市值超百亿,2
8/31/2020,浦发银行2020年上半年净利289.55亿减少9.8% 集团实现利息净收入下降,-2
9/4/2020,[云南能投]浦发银行昆明分行到集团交流座谈,0
9/15/2020,浦发银行职工监事张宜临因已届退休年龄辞任,-1
9/15/2020,新雷能(300593.SZ)：拟向浦发银行申请5000万元综合授信,1
10/10/2020,[上海建工]集团与浦发银行签署战略合作备忘录,1
10/15/2020,浦发银行：第七届董事会第十四次会议决议公告,0
10/22/2020,浦发银行：“浦发转债”2020年付息事宜的公告,1
10/31/2020,浦发银行：2020年前三季度主要财务指标,0
11/1/2020,浦发银行2020年前三季度净利447.42亿 同比下滑7.46%,-2
11/4/2020,[新凤鸣]浦发银行杭州分行副行长金晓峰一行莅临指导,0
11/12/2020,浦发银行(600000.SH)：同意给予上海国际集团综合授信人民币80.4亿元、港币5亿元,0
11/20/2020,[中科曙光]签了!中科曙光与浦发银行开启战略合作,1
11/24/2020,"[正邦科技]浦发银行南昌分行党委书记、行长黄旭东一行抵正邦座谈,助力正邦冲刺千亿目标,挺进世界500强",1
12/10/2020,北元集团(601568.SH)：董事会同意公司与浦发银行榆林分行建立战略合作关系,1
12/11/2020,溢多利(300381.SZ)拟向浦发银行珠海分行申请不超1.45亿元综合授信额度,1
12/14/2020,浦发银行董事刘培峰因工作调动原因辞职,-1
12/22/2020,浦发银行(600000.SH)：吴弘独董任职资格获银保监会核准,1
12/29/2020,[中科金财]中科金财与浦发银行北京分行“基于API的场景适配中台产品”入选北京金融科技创新监管试点,1
12/29/2020,浦发银行(600000.SH)：董事会同意给予国泰君安证券综合授信额度246亿元,0
