Time,Content
2021-10-29,三一重工，周期宿命
2021-10-28,三一重工(600031.SH)：第三季度净利降35.32%至24.93亿元
2021-10-28,三一重工：第三季度净利24.9亿元 同比下降35.32%
2021-10-28,三一重工(600031.SH)跌超5%再创调整新低 今晚将公布业绩
2021-10-13,三一重工董事会秘书肖友良辞职 蔡盛林接任
2021-09-01,三一重工(600031.SH)封涨停 成交额超120亿元创历史新高
2021-09-01,工程机械板块大幅走高 徐工机械封涨停 三一重工涨超5%
2021-08-30,三一重工(600031.SH)跌幅扩大至超6% Q2销售放缓、毛利率下跌
2021-08-30,三一重工2021年半年度净利100.74亿元 同比净利增加17.16%
2021-08-29,三一重工(600031.SH)半年度净利润100.74亿元 同比增长17.16%
2021-08-29,三一重工：上半年净利润100.74亿元 同比增长17%
2021-08-10,北向资金今日净买入10.42亿元 三一重工净买入居首
2021-08-09,三一重工(600031.SH)：三一租赁拟申请注册发行不超100亿元的ABS
2021-08-09,工程机械走高，中联重科、三一重工大涨，机械ETF(516960)持续溢价交易
2021-08-09,机械股再度集体大涨：三一重工创逾3个月新高，潍柴动力创近5个月新高
2021-08-04,机械股连续第三日反弹 三一重工(600031.SH)三日累涨近25%
2021-08-04,工程机械板块持续拉升 三一重工(600031.SH)涨超6%
2021-08-03,三一重工，苦尽甘来？
2021-08-03,三一重工(600031.SH)：五年100亿美元的目标是三一集团努力的方向 不代表公司的业绩承诺
2021-08-03,机械股连续第二日上涨 三一重工一度涨近6%
2021-07-22,三一重工(600031.SH)创今年3月以来最大涨幅，市场开始关注低估大白马？
2021-07-22,工程机械股集体拉升 三一重工大涨近7%
2021-07-21,三一重工(600031.SH)：控股股东三一集团及一致行动人持股比例减少1.03%
2021-07-20,三一重工底部拉升涨近4% 获鹏华旗下基金增仓成第一大重仓股
2021-07-19,三一重工(600031.SH)再创调整新低 5个月跌去2000亿市值
2021-07-08,三一重工(600031.SH)再创调整新低 较最高价近乎腰斩
2021-07-01,三一重工(600031.SH):2021年员工持股计划完成股票非交易过户
2021-06-30,挖掘机涨价 三一重工(600031.SH)拉升涨近5%
2021-06-29,三一重工(600031.SH):808.21万份预留授予股票期权可行权
2021-06-19,大手笔！三一重工推2.7亿元员工持股计划，覆盖4000多人
2021-06-18,三一重工(600031.SH)：拟推2021年员工持股计划 设立规模不超2.6951亿元
2021-06-18,挖掘机涨价！三一重工(600031.SH)拉升翻红
2021-06-15,华菱钢铁：公司与三一重工是长期战略合作伙伴关系
2021-06-07,三一重工(600031.SH)年报推10派6元 股权登记日6月15日
2021-06-01,A股异动丨三一重工(600031.SH)涨近4% 2020年销售挖掘机98705台 首夺全球销冠
2021-05-31,中国力量，世界冠军！三一重工挖掘机首夺全球销冠
2021-05-28,三一重工(600031.SH)拟向控股子公司三一融资租赁增资8亿元
2021-05-28,三一重工(600031.SH)拟推2021年员工持股计划 设立规模不超2.695亿元
2021-05-28,三一重工(600031.SH)：拟申请统一注册并发行不超200亿元DFI
2021-05-14,3个月蒸发2000亿！三一重工为何惨遭市场抛弃？
2021-05-13,三一重工(600031.SH)跌破年线 较最高位跌去45%
2021-04-29,三一重工(600031.SH)一季度净利润升146.16%至55.38亿元
2021-04-28,博亚精工：公司的产品球笼联轴器与郑州宇通及三一重工均有小批量合作
2021-04-26,三一重工：混凝土机械主要用于铁路、公路、地铁、水电站等基础设施建设及房地产行业
2021-04-26,三一重工：公司开展远期外汇业务主要是为了套期保值、降低汇率波动风险
2021-04-26,三一重工：公司将大力推进数字化转型
2021-04-26,三一重工：2020年公司实现国际销售收入141.04 亿元 与2019年基本持平
2021-04-26,三一重工：公司加权平均净资产收益率29.64% 较2019年上升2.48个百分点
2021-04-26,三一重工：公司收购三一汽车金融是为了进一步聚焦主业及核心业务
2021-04-26,三一重工：海外投资者可以通过沪港通、QFII等多种渠道投资
2021-04-26,三一重工：2020年公司已下线电动化产品10款 产品覆盖挖掘机、起重机、搅拌车、自卸车及路面机械
2021-04-26,三一重工：目前公司暂时没有建筑垃圾破碎机业务
2021-04-26,三一重工：专用车辆免征购置税政策降低了客户的购置成本间接有利于公司销售
2021-04-26,三一重工：截至2020年底 公司累计申请专利10278项授权专利7613项 申请及授权数居国内行业第一
2021-04-26,三一重工：销售费用包含三包
2021-04-16,三一重工2021年第一季度预计净利增加137%-164% 设备销售持续增长
2021-04-16,相关设备销售持续增长，三一重工一季度业绩预增超137%
2021-04-16,全球最大中国股票基金3月增持贵州茅台；热景生物、金发拉比提示风险；三一重工一季报预增137%-164%
2021-04-15,三一重工(600031.SH)：一季度净利预增137%-164%
